iter	Passed	Remaining
0	172	172093
1	173	86625
2	174	58010
3	175	43675
4	176	35084
5	177	29360
6	178	25298
7	179	22232
8	180	19852
9	181	17948
10	182	16400
11	183	15096
12	184	14021
13	185	13080
14	186	12269
15	187	11554
16	188	10922
17	189	10362
18	190	9854
19	191	9404
20	193	9003
21	194	8632
22	195	8293
23	196	7982
24	197	7697
25	198	7432
26	199	7182
27	200	6956
28	201	6741
29	202	6541
30	203	6356
31	211	6385
32	212	6231
33	218	6199
34	219	6057
35	221	5930
36	222	5798
37	224	5673
38	225	5554
39	226	5441
40	228	5336
41	232	5301
42	233	5206
43	235	5111
44	236	5020
45	237	4934
46	239	4850
47	240	4765
48	241	4682
49	242	4602
50	243	4534
51	245	4477
52	247	4419
53	248	4355
54	249	4290
55	251	4233
56	252	4174
57	253	4121
58	254	4065
59	256	4010
60	256	3956
61	258	3905
62	259	3859
63	260	3812
64	261	3767
65	262	3718
66	263	3671
67	264	3621
68	265	3578
69	266	3538
70	267	3496
71	268	3456
72	269	3417
73	270	3379
74	270	3341
75	272	3307
76	273	3276
77	274	3249
78	275	3216
79	276	3182
80	277	3150
81	278	3120
82	279	3090
83	280	3061
84	281	3028
85	282	2999
86	282	2969
87	283	2942
88	284	2915
89	285	2889
90	286	2866
91	288	2847
92	289	2827
93	290	2802
94	291	2778
95	292	2755
96	293	2731
97	294	2708
98	295	2686
99	296	2664
100	297	2643
101	297	2619
102	298	2598
103	299	2578
104	300	2558
105	301	2540
106	303	2530
107	304	2516
108	305	2498
109	306	2479
110	307	2461
111	308	2444
112	309	2426
113	309	2409
114	310	2392
115	311	2374
116	312	2358
117	313	2342
118	314	2325
119	315	2310
120	316	2296
121	317	2285
122	318	2269
123	319	2258
124	320	2244
125	321	2230
126	322	2216
127	323	2200
128	323	2187
129	324	2174
130	325	2160
131	326	2148
132	327	2135
133	328	2122
134	329	2110
135	330	2098
136	331	2088
137	332	2078
138	333	2067
139	334	2056
140	335	2045
141	336	2035
142	337	2024
143	338	2014
144	339	2004
145	340	1993
146	341	1983
147	343	1974
148	344	1966
149	345	1955
150	346	1946
151	348	1942
152	349	1932
153	349	1922
154	350	1912
155	351	1902
156	352	1893
157	353	1883
158	354	1874
